id_permintaan,nomor_tiket,pemohon_nama,jenis_layanan_id,timestamp_submit,tanggal_selesai,status_penyelesaian,rating_kepuasan
REQ-0,TKT-202502-0000,Zalindra Damanik,5,2025-02-28 08:41:30.137409,2025-03-02 17:41:30.137409,Selesai,4.41
REQ-1,TKT-202412-0001,Wirda Laksita,5,2024-12-11 20:12:00.969009,2024-12-14 06:12:00.969009,Selesai,4.27
REQ-2,TKT-202506-0002,"Umar Uwais, S.I.Kom",3,2025-06-16 18:23:33.489251,2025-06-17 11:23:33.489251,Selesai,3.65
REQ-3,TKT-202504-0003,Margana Anggraini,2,2025-04-25 23:46:31.994797,2025-04-26 12:46:31.994797,Selesai,3.32
REQ-4,TKT-202504-0004,Warta Maulana,1,2025-04-20 02:35:55.170169,2025-04-20 19:35:55.170169,Selesai,3.33
REQ-5,TKT-202506-0005,Zalindra Damanik,3,2025-06-06 19:38:54.263940,2025-06-09 04:38:54.263940,Selesai,3.49
REQ-6,TKT-202509-0006,"Halima Hutasoit, S.T.",1,2025-09-02 17:00:07.989234,2025-09-05 17:00:07.989234,Selesai,4.25
REQ-7,TKT-202507-0007,"Mila Saragih, M.Pd",4,2025-07-17 07:24:36.610508,2025-07-18 15:24:36.610508,Selesai,3.21
REQ-8,TKT-202505-0008,Zamira Hidayat,2,2025-05-20 13:11:21.816771,2025-05-21 16:11:21.816771,Selesai,4.45
REQ-9,TKT-202509-0009,Ozy Haryanto,3,2025-09-29 15:38:07.806016,2025-10-01 09:38:07.806016,Selesai,4.07
REQ-10,TKT-202503-0010,Zamira Hidayat,2,2025-03-23 21:48:43.844180,2025-03-25 01:48:43.844180,Selesai,4.34
REQ-11,TKT-202507-0011,Vega Astuti,3,2025-07-02 10:54:39.847014,2025-07-04 08:54:39.847014,Selesai,3.17
REQ-12,TKT-202501-0012,Vega Astuti,2,2025-01-04 03:04:56.025184,2025-01-04 14:04:56.025184,Selesai,3.5
REQ-13,TKT-202510-0013,Mila Latupono,5,2025-10-31 17:00:51.959805,2025-10-31 19:00:51.959805,Selesai,4.49
REQ-14,TKT-202506-0014,dr. Daniswara Nasyiah,4,2025-06-22 07:38:16.743311,2025-06-22 21:38:16.743311,Selesai,3.64
REQ-15,TKT-202508-0015,Dr. Azalea Maulana,3,2025-08-03 23:15:23.355823,2025-08-05 13:15:23.355823,Selesai,4.69
REQ-16,TKT-202506-0016,Cindy Handayani,2,2025-06-13 03:02:49.013890,2025-06-15 09:02:49.013890,Selesai,4.36
REQ-17,TKT-202502-0017,dr. Nasrullah Fujiati,5,2025-02-11 21:22:09.495813,2025-02-14 20:22:09.495813,Selesai,3.53
REQ-18,TKT-202504-0018,Warta Maulana,3,2025-04-02 08:16:26.008875,2025-04-03 14:16:26.008875,Selesai,3.36
REQ-19,TKT-202507-0019,Langgeng Winarno,4,2025-07-06 07:36:38.138695,2025-07-08 00:36:38.138695,Selesai,3.35
REQ-20,TKT-202507-0020,Dr. Azalea Maulana,3,2025-07-20 17:05:30.039482,2025-07-23 12:05:30.039482,Selesai,3.97
REQ-21,TKT-202412-0021,Jessica Permadi,1,2024-12-01 09:02:44.289999,2024-12-01 16:02:44.289999,Selesai,3.09
REQ-22,TKT-202506-0022,Margana Anggraini,4,2025-06-03 03:14:39.691048,2025-06-04 13:14:39.691048,Selesai,3.64
REQ-23,TKT-202412-0023,Kartika Mandala,3,2024-12-18 16:10:30.383466,2024-12-21 06:10:30.383466,Selesai,4.06
REQ-24,TKT-202509-0024,Mila Latupono,1,2025-09-15 18:04:26.777554,2025-09-16 12:04:26.777554,Selesai,3.44
REQ-25,TKT-202508-0025,Mila Latupono,2,2025-08-06 19:59:05.051616,2025-08-07 23:59:05.051616,Selesai,4.44
REQ-26,TKT-202508-0026,"Umar Uwais, S.I.Kom",1,2025-08-09 12:06:28.431910,2025-08-10 23:06:28.431910,Selesai,3.41
REQ-27,TKT-202507-0027,"Endra Hutagalung, S.Pt",1,2025-07-06 13:15:39.845338,2025-07-08 20:15:39.845338,Selesai,4.15
REQ-28,TKT-202504-0028,Cindy Handayani,4,2025-04-27 16:13:27.046273,2025-04-30 11:13:27.046273,Selesai,3.18
REQ-29,TKT-202412-0029,Ozy Haryanto,2,2024-12-08 10:29:47.047329,2024-12-08 13:29:47.047329,Selesai,3.42
REQ-30,TKT-202511-0030,Margana Anggraini,4,2025-11-03 04:23:52.591881,2025-11-04 08:23:52.591881,Selesai,3.9
REQ-31,TKT-202502-0031,"Umar Uwais, S.I.Kom",1,2025-02-04 17:17:25.604948,2025-02-07 04:17:25.604948,Selesai,3.18
REQ-32,TKT-202505-0032,Kadir Nasyiah,3,2025-05-01 06:49:52.448386,2025-05-02 04:49:52.448386,Selesai,3.52
REQ-33,TKT-202412-0033,Karya Siregar,5,2024-12-11 18:55:17.576063,2024-12-14 09:55:17.576063,Selesai,4.14
REQ-34,TKT-202506-0034,dr. Nasrullah Fujiati,4,2025-06-17 09:10:13.393363,2025-06-20 08:10:13.393363,Selesai,4.28
REQ-35,TKT-202510-0035,Prabawa Firmansyah,1,2025-10-15 21:34:08.943331,2025-10-17 04:34:08.943331,Selesai,3.6
REQ-36,TKT-202507-0036,Ir. Kardi Setiawan,5,2025-07-15 19:02:31.800572,2025-07-17 14:02:31.800572,Selesai,4.78
REQ-37,TKT-202505-0037,Arsipatra Saragih,1,2025-05-21 16:44:00.536362,2025-05-21 21:44:00.536362,Selesai,4.0
REQ-38,TKT-202508-0038,dr. Nasrullah Fujiati,5,2025-08-17 17:21:32.722544,2025-08-20 09:21:32.722544,Selesai,3.57
REQ-39,TKT-202509-0039,Wirda Laksita,5,2025-09-22 01:03:27.707441,2025-09-22 15:03:27.707441,Selesai,4.4
REQ-40,TKT-202412-0040,Jayeng Nugroho,1,2024-12-10 18:08:07.867378,2024-12-12 07:08:07.867378,Selesai,3.73
REQ-41,TKT-202511-0041,Wirda Laksita,3,2025-11-21 23:18:17.361456,2025-11-24 08:18:17.361456,Selesai,3.6
REQ-42,TKT-202508-0042,Kartika Mandala,4,2025-08-12 12:44:16.572504,2025-08-14 02:44:16.572504,Selesai,4.06
REQ-43,TKT-202510-0043,Wirda Laksita,4,2025-10-22 12:00:43.298658,2025-10-24 15:00:43.298658,Selesai,4.79
REQ-44,TKT-202505-0044,Lintang Astuti,3,2025-05-25 00:02:23.856626,2025-05-25 18:02:23.856626,Selesai,4.94
REQ-45,TKT-202502-0045,"drg. Lidya Saputra, S.Ked",5,2025-02-14 05:02:40.593204,2025-02-14 18:02:40.593204,Selesai,3.86
REQ-46,TKT-202501-0046,Kartika Mandala,1,2025-01-04 07:34:13.681971,2025-01-06 08:34:13.681971,Selesai,3.0
REQ-47,TKT-202505-0047,Kartika Mandala,5,2025-05-14 16:02:56.795467,2025-05-17 06:02:56.795467,Selesai,4.79
REQ-48,TKT-202509-0048,"Nadia Wibowo, S.Psi",3,2025-09-13 17:53:42.672453,2025-09-14 09:53:42.672453,Selesai,3.78
REQ-49,TKT-202503-0049,Mumpuni Mulyani,3,2025-03-01 23:03:30.597389,2025-03-03 16:03:30.597389,Selesai,4.96
REQ-50,TKT-202509-0050,Ganep Gunawan,5,2025-09-17 21:41:53.232095,2025-09-19 16:41:53.232095,Selesai,3.75
REQ-51,TKT-202506-0051,Dr. Azalea Maulana,3,2025-06-21 03:42:54.241872,2025-06-22 14:42:54.241872,Selesai,3.94
REQ-52,TKT-202507-0052,Dr. Azalea Maulana,3,2025-07-07 08:47:21.997964,2025-07-10 05:47:21.997964,Selesai,4.74
REQ-53,TKT-202509-0053,Kamaria Hartati,1,2025-09-16 12:34:41.114547,2025-09-17 04:34:41.114547,Selesai,4.66
REQ-54,TKT-202504-0054,Endah Prastuti,1,2025-04-20 00:15:46.466357,2025-04-21 06:15:46.466357,Selesai,3.77
REQ-55,TKT-202507-0055,"Dagel Farida, M.Kom.",3,2025-07-01 11:25:08.456743,2025-07-03 21:25:08.456743,Selesai,4.08
REQ-56,TKT-202504-0056,dr. Jumadi Sirait,4,2025-04-10 09:17:50.640672,2025-04-11 08:17:50.640672,Selesai,4.87
REQ-57,TKT-202511-0057,Ozy Haryanto,5,2025-11-20 13:53:14.706236,2025-11-23 11:53:14.706236,Selesai,4.49
REQ-58,TKT-202508-0058,Kartika Mandala,3,2025-08-30 11:15:36.596034,2025-09-01 14:15:36.596034,Selesai,3.76
REQ-59,TKT-202508-0059,"R.M. Cahyadi Waskita, M.Ak",2,2025-08-02 02:56:34.581487,2025-08-02 08:56:34.581487,Selesai,3.67
REQ-60,TKT-202504-0060,Arsipatra Saragih,1,2025-04-30 07:40:38.806548,2025-05-02 05:40:38.806548,Selesai,4.58
REQ-61,TKT-202507-0061,Lintang Astuti,5,2025-07-06 00:27:20.221387,2025-07-08 18:27:20.221387,Selesai,4.41
REQ-62,TKT-202505-0062,Jessica Permadi,5,2025-05-23 17:18:40.739237,2025-05-23 23:18:40.739237,Selesai,4.31
REQ-63,TKT-202506-0063,Adinata Mustofa,1,2025-06-11 13:41:02.714214,2025-06-13 19:41:02.714214,Selesai,3.32
REQ-64,TKT-202506-0064,Prabawa Firmansyah,4,2025-06-18 10:01:21.115535,2025-06-18 13:01:21.115535,Selesai,4.77
REQ-65,TKT-202507-0065,"Farah Pudjiastuti, S.E.",2,2025-07-18 20:23:06.730099,2025-07-20 20:23:06.730099,Selesai,4.89
REQ-66,TKT-202511-0066,Radika Andriani,3,2025-11-03 01:29:22.589051,2025-11-03 23:29:22.589051,Selesai,3.4
REQ-67,TKT-202507-0067,Prabawa Firmansyah,2,2025-07-09 01:00:31.217531,2025-07-12 01:00:31.217531,Selesai,4.88
REQ-68,TKT-202501-0068,Prabawa Firmansyah,3,2025-01-20 16:07:14.563350,2025-01-22 22:07:14.563350,Selesai,3.88
REQ-69,TKT-202505-0069,Tgk. Titin Saefullah,4,2025-05-12 18:55:51.679157,2025-05-15 05:55:51.679157,Selesai,4.04
REQ-70,TKT-202511-0070,Warta Maulana,4,2025-11-16 13:05:38.348552,2025-11-18 23:05:38.348552,Selesai,3.97
REQ-71,TKT-202509-0071,"R.M. Cahyadi Waskita, M.Ak",4,2025-09-22 11:10:34.659914,2025-09-23 16:10:34.659914,Selesai,4.14
REQ-72,TKT-202412-0072,Margana Anggraini,5,2024-12-19 09:16:24.865524,2024-12-22 02:16:24.865524,Selesai,3.08
REQ-73,TKT-202508-0073,Zalindra Damanik,1,2025-08-23 00:54:05.568041,2025-08-24 02:54:05.568041,Selesai,3.77
REQ-74,TKT-202511-0074,"Mila Saragih, M.Pd",5,2025-11-06 15:38:52.769222,2025-11-07 20:38:52.769222,Selesai,3.3
REQ-75,TKT-202502-0075,"Dr. Koko Kurniawan, S.Kom",2,2025-02-16 18:51:11.101275,2025-02-19 08:51:11.101275,Selesai,3.96
REQ-76,TKT-202501-0076,dr. Jumadi Sirait,1,2025-01-11 01:42:34.317996,2025-01-13 23:42:34.317996,Selesai,3.96
REQ-77,TKT-202510-0077,Margana Anggraini,4,2025-10-28 17:03:07.030967,2025-10-28 21:03:07.030967,Selesai,4.52
REQ-78,TKT-202510-0078,Warta Maulana,1,2025-10-27 01:03:15.814128,2025-10-27 12:03:15.814128,Selesai,3.04
REQ-79,TKT-202504-0079,Cici Jailani,5,2025-04-15 00:15:56.027218,2025-04-15 12:15:56.027218,Selesai,4.72
REQ-80,TKT-202504-0080,Langgeng Winarno,1,2025-04-17 17:38:49.917659,2025-04-18 18:38:49.917659,Selesai,3.52
REQ-81,TKT-202506-0081,"Umar Uwais, S.I.Kom",5,2025-06-08 05:52:39.558607,2025-06-08 23:52:39.558607,Selesai,3.12
REQ-82,TKT-202502-0082,Arsipatra Saragih,4,2025-02-03 04:42:47.744590,2025-02-04 23:42:47.744590,Selesai,3.48
REQ-83,TKT-202502-0083,"Dr. Koko Kurniawan, S.Kom",3,2025-02-12 07:38:20.605626,2025-02-13 22:38:20.605626,Selesai,4.43
REQ-84,TKT-202503-0084,Lintang Astuti,4,2025-03-18 06:03:35.022971,2025-03-19 11:03:35.022971,Selesai,3.28
REQ-85,TKT-202505-0085,Ozy Haryanto,5,2025-05-10 23:56:45.253512,2025-05-11 18:56:45.253512,Selesai,3.74
REQ-86,TKT-202503-0086,Margana Anggraini,2,2025-03-12 06:38:14.822356,2025-03-14 03:38:14.822356,Selesai,3.92
REQ-87,TKT-202503-0087,Cici Jailani,3,2025-03-04 04:29:38.715050,2025-03-06 00:29:38.715050,Selesai,3.92
REQ-88,TKT-202511-0088,dr. Daniswara Nasyiah,1,2025-11-02 02:04:55.915654,2025-11-02 18:04:55.915654,Selesai,4.14
REQ-89,TKT-202502-0089,Jayeng Nugroho,3,2025-02-19 19:57:46.020982,2025-02-22 16:57:46.020982,Selesai,4.35
REQ-90,TKT-202507-0090,"Farah Pudjiastuti, S.E.",2,2025-07-25 19:20:20.650007,2025-07-26 06:20:20.650007,Selesai,3.09
REQ-91,TKT-202503-0091,Vanya Zulaika,1,2025-03-17 06:27:45.473765,2025-03-20 06:27:45.473765,Selesai,3.21
REQ-92,TKT-202506-0092,Mulyanto Irawan,1,2025-06-09 18:45:07.345024,2025-06-11 06:45:07.345024,Selesai,3.53
REQ-93,TKT-202511-0093,Vega Astuti,2,2025-11-03 19:20:55.344565,2025-11-05 05:20:55.344565,Selesai,4.69
REQ-94,TKT-202412-0094,Jayeng Nugroho,4,2024-12-07 10:40:10.548819,2024-12-09 11:40:10.548819,Selesai,4.26
REQ-95,TKT-202501-0095,"Nadia Wibowo, S.Psi",3,2025-01-11 17:06:18.667088,2025-01-13 12:06:18.667088,Selesai,4.2
REQ-96,TKT-202412-0096,"Nadia Wibowo, S.Psi",3,2024-12-15 21:02:37.168641,2024-12-17 18:02:37.168641,Selesai,4.73
REQ-97,TKT-202501-0097,Margana Anggraini,1,2025-01-09 09:05:09.348590,2025-01-10 22:05:09.348590,Selesai,3.27
REQ-98,TKT-202510-0098,Cindy Handayani,3,2025-10-10 12:22:51.871900,2025-10-11 19:22:51.871900,Selesai,4.59
REQ-99,TKT-202510-0099,Ir. Kardi Setiawan,4,2025-10-30 16:28:09.246503,2025-10-31 05:28:09.246503,Selesai,4.76
REQ-100,TKT-202508-0100,Kadir Nasyiah,4,2025-08-05 15:52:00.456984,2025-08-07 21:52:00.456984,Selesai,4.51
REQ-101,TKT-202503-0101,Zalindra Damanik,1,2025-03-16 06:52:29.903138,2025-03-17 18:52:29.903138,Selesai,3.11
REQ-102,TKT-202508-0102,Tgk. Cici Rajata,3,2025-08-19 10:11:06.193438,2025-08-20 08:11:06.193438,Selesai,4.27
REQ-103,TKT-202508-0103,Mumpuni Mulyani,4,2025-08-09 12:54:33.816271,2025-08-12 02:54:33.816271,Selesai,4.36
REQ-104,TKT-202506-0104,Karya Siregar,2,2025-06-30 05:36:00.247204,2025-07-02 02:36:00.247204,Selesai,4.78
REQ-105,TKT-202412-0105,Kamaria Hartati,3,2024-12-21 13:17:39.289395,2024-12-23 17:17:39.289395,Selesai,3.44
REQ-106,TKT-202511-0106,Cici Jailani,2,2025-11-15 06:05:39.445043,2025-11-17 08:05:39.445043,Selesai,3.87
REQ-107,TKT-202509-0107,"Dr. Koko Kurniawan, S.Kom",4,2025-09-11 07:19:23.009055,2025-09-12 14:19:23.009055,Selesai,4.6
REQ-108,TKT-202511-0108,Ozy Haryanto,5,2025-11-13 22:08:14.185540,2025-11-16 13:08:14.185540,Selesai,3.78
REQ-109,TKT-202501-0109,Vega Astuti,4,2025-01-20 07:36:16.228989,2025-01-23 01:36:16.228989,Selesai,4.05
REQ-110,TKT-202506-0110,Dr. Azalea Maulana,4,2025-06-02 02:28:01.639721,2025-06-03 15:28:01.639721,Selesai,4.27
REQ-111,TKT-202502-0111,Tgk. Cici Rajata,5,2025-02-11 19:54:18.866549,2025-02-13 07:54:18.866549,Selesai,4.25
REQ-112,TKT-202508-0112,Jayeng Nugroho,4,2025-08-17 11:21:38.891447,2025-08-18 19:21:38.891447,Selesai,3.14
REQ-113,TKT-202506-0113,dr. Daniswara Nasyiah,3,2025-06-26 23:34:17.765448,2025-06-28 11:34:17.765448,Selesai,3.97
REQ-114,TKT-202412-0114,Tgk. Titin Saefullah,4,2024-12-24 14:35:54.519279,2024-12-25 02:35:54.519279,Selesai,3.03
REQ-115,TKT-202505-0115,Mila Latupono,4,2025-05-10 00:35:56.566477,2025-05-11 01:35:56.566477,Selesai,3.38
REQ-116,TKT-202510-0116,Cindy Handayani,2,2025-10-19 12:33:44.566370,2025-10-19 23:33:44.566370,Selesai,3.97
REQ-117,TKT-202511-0117,Lembah Narpati,1,2025-11-04 13:26:39.563306,2025-11-07 02:26:39.563306,Selesai,3.62
REQ-118,TKT-202507-0118,Adinata Mustofa,3,2025-07-27 22:20:50.576956,2025-07-28 21:20:50.576956,Selesai,4.36
