nip,nama,jabatan,unit_kerja_id,tanggal_masuk,status_kepegawaian,email,no_hp
1908183658493,Tgk. Cici Rajata,Staf,11,2019-08-08,Honorer,darijan54@example.org,+62-131-876-1160
1919667498264,"Dr. Koko Kurniawan, S.Kom",Kepala Seksi,2,2019-05-29,PPPK,embuhutami@example.com,+62 (087) 077-9187
1987568203108,Mila Latupono,Kepala Bagian,6,2021-12-23,Honorer,edi74@example.com,(042) 774 4013
1946171787027,"Endra Hutagalung, S.Pt",Kepala Bagian,3,2017-01-12,PNS,dsuwarno@example.org,+62-971-620-6940
1998954348501,"T. Martani Pranowo, S.Pt",Dosen,5,2017-09-01,PPPK,imardhiyah@example.com,084 848 4896
1970320718915,"Nadia Wibowo, S.Psi",Staf,5,2018-11-11,PPPK,tirtayasasitompul@example.net,+62 (087) 690-5156
1957950444137,Cawisono Marbun,Kepala Bagian,15,2020-02-15,PNS,riyantidian@example.org,+62-096-029-5388
1904323419722,"Mila Saragih, M.Pd",Kepala Seksi,10,2019-07-19,PNS,nugrahajailani@example.net,+62-0425-783-8740
1997139172685,Kamaria Hartati,Kepala Seksi,15,2016-05-05,PNS,kdongoran@example.org,+62 (0831) 662-8327
1929714679191,"Halima Hutasoit, S.T.",Dosen,9,2018-02-17,PPPK,evawidodo@example.com,(0602) 126 0497
1995342184012,Mulyanto Irawan,Staf,14,2020-09-13,PNS,firgantorocengkir@example.com,(0455) 421-9005
1921575471894,Lembah Narpati,Staf,7,2018-05-04,PNS,bsihotang@example.org,0871073922
1926281341279,dr. Daniswara Nasyiah,Dosen,10,2016-07-19,PPPK,msitumorang@example.org,+62 (829) 300 4467
1928168099795,Ir. Kardi Setiawan,Kepala Bagian,8,2024-01-14,Honorer,wwibisono@example.net,+62 (172) 886 2069
1933115276519,Dr. Azalea Maulana,Kepala Seksi,15,2024-09-08,Honorer,wahyuniade@example.org,+62 (772) 424 5487
1964966038353,Adinata Mustofa,Kepala Seksi,7,2021-12-02,Honorer,siregarcakrawala@example.com,085 758 6677
1911955234255,dr. Jumadi Sirait,Staf,10,2017-07-12,PNS,kayla80@example.com,(0481) 715 7082
1999352896746,Kadir Nasyiah,Kepala Seksi,7,2018-02-03,PNS,bwijayanti@example.org,(0935) 494 0562
1958228170455,Tgk. Titin Saefullah,Dosen,3,2018-03-27,PNS,irmahidayanto@example.com,085 064 4727
1973574083516,Zamira Hidayat,Dosen,9,2022-01-25,PNS,vharyanti@example.net,+62 (14) 666 9211
1951358229688,Jessica Permadi,Dosen,8,2023-09-13,Honorer,vegahalimah@example.com,+62-81-926-6808
1918183588596,Vega Astuti,Dosen,2,2024-01-27,Honorer,harsantowidiastuti@example.org,(087) 297 7177
1979937107383,"Umar Uwais, S.I.Kom",Kepala Bagian,8,2019-02-14,PPPK,lsalahudin@example.com,+62 (734) 137 7886
1955592819738,Zalindra Damanik,Kepala Seksi,15,2017-05-22,PNS,cawisonowijaya@example.com,(005) 210-5397
1965814351075,Cici Jailani,Staf,4,2023-06-01,PNS,estiono14@example.net,+62-418-187-4881
1987070094135,Wirda Laksita,Dosen,8,2022-03-02,PPPK,nainggolanamong@example.org,0892447584
1954316762137,"Dagel Farida, M.Kom.",Kepala Bagian,2,2016-12-01,PNS,abyasa66@example.net,+62 (94) 215 2847
1922236757446,Mumpuni Mulyani,Kepala Bagian,8,2022-03-17,PPPK,ppradipta@example.org,+62 (255) 569 6391
1942455231934,dr. Nasrullah Fujiati,Kepala Bagian,7,2021-03-05,Honorer,atma90@example.net,+62 (898) 544 3722
1950735294653,"drg. Lidya Saputra, S.Ked",Dosen,3,2018-05-12,PPPK,fitriani91@example.org,+62 (030) 887 8562
1935224691582,Ozy Haryanto,Kepala Bagian,5,2016-01-18,Honorer,roktaviani@example.org,(0272) 782-9685
1983673232471,Padma Mansur,Staf,13,2024-11-15,PNS,cawuk24@example.net,(085) 783-8689
1933888623224,Vanya Zulaika,Kepala Bagian,4,2022-11-16,Honorer,erik54@example.org,085 772 2843
1916338389601,Jayeng Nugroho,Dosen,13,2018-06-22,PNS,csalahudin@example.org,+62 (0612) 665 8581
1907424354768,Jagapati Narpati,Staf,8,2021-07-10,PPPK,nasyidahihsan@example.net,+62 (0361) 077 7611
1949271715474,Endah Prastuti,Dosen,9,2022-10-21,Honorer,harjadamanik@example.com,+62 (52) 377 4946
1993279868587,Karya Siregar,Kepala Seksi,1,2023-04-28,PPPK,tasdik67@example.org,+62 (70) 961 8084
1905880410458,Kartika Mandala,Kepala Bagian,11,2018-08-01,PNS,nzulaika@example.com,+62-0552-715-8430
1958067040676,"R.M. Cahyadi Waskita, M.Ak",Kepala Seksi,2,2020-12-12,PNS,lasmono92@example.org,0890770791
1905050693962,"Farah Pudjiastuti, S.E.",Kepala Bagian,7,2018-06-11,PPPK,noviprabowo@example.org,+62-0614-732-6838
1977472234483,Margana Anggraini,Staf,14,2023-10-29,PNS,dono28@example.org,(058) 646 5837
1985696061982,Warta Maulana,Dosen,10,2019-03-16,Honorer,hildaharyanto@example.com,+62 (107) 888 7268
1907345594995,Radika Andriani,Staf,13,2023-01-05,PPPK,lantarirawan@example.net,+62 (0416) 739-4644
1996620180393,Cindy Handayani,Kepala Seksi,11,2016-12-18,PNS,emansafitri@example.org,+62 (942) 285-6111
1987453568647,Ir. Yessi Maulana,Dosen,15,2024-10-12,Honorer,esuwarno@example.net,087 271 6990
1966738195989,Ganep Gunawan,Kepala Bagian,11,2020-06-10,Honorer,galih23@example.org,(0078) 423-0497
1943338496867,Prabawa Firmansyah,Staf,15,2015-11-30,Honorer,usman23@example.net,+62 (16) 326-0166
1929268398805,Arsipatra Saragih,Kepala Bagian,9,2018-05-25,PPPK,ibrahimagustina@example.net,(0623) 477 6536
1989921020999,Lintang Astuti,Kepala Bagian,4,2019-03-21,Honorer,hasanahedward@example.com,(099) 330-0274
1901499351492,Langgeng Winarno,Staf,6,2018-04-05,PNS,wastutiirnanto@example.com,+62-59-440-3761
